"Name","PathName","ProcessID"
"System Idle Process",,"0"
"System",,"4"
"Registry",,"88"
"smss.exe",,"320"
"csrss.exe",,"408"
"csrss.exe",,"512"
"wininit.exe",,"532"
"winlogon.exe",,"568"
"services.exe",,"648"
"lsass.exe",,"656"
"svchost.exe",,"780"
"svchost.exe",,"800"
"fontdrvhost.exe",,"820"
"fontdrvhost.exe",,"828"
"svchost.exe",,"912"
"svchost.exe",,"960"
"dwm.exe",,"1016"
"svchost.exe",,"724"
"svchost.exe",,"744"
"svchost.exe",,"1080"
"svchost.exe",,"1160"
"svchost.exe",,"1264"
"svchost.exe",,"1304"
"svchost.exe",,"1340"
"svchost.exe",,"1348"
"svchost.exe",,"1368"
"svchost.exe",,"1380"
"svchost.exe",,"1484"
"Memory Compression",,"1516"
"svchost.exe",,"1552"
"svchost.exe",,"1560"
"svchost.exe",,"1620"
"svchost.exe",,"1648"
"svchost.exe",,"1716"
"svchost.exe",,"1772"
"svchost.exe",,"1800"
"svchost.exe",,"1808"
"svchost.exe",,"1916"
"spoolsv.exe",,"2012"
"svchost.exe",,"2060"
"svchost.exe",,"2140"
"svchost.exe",,"2172"
"svchost.exe",,"2196"
"svchost.exe",,"2416"
"svchost.exe",,"2424"
"svchost.exe",,"2436"
"svchost.exe",,"2512"
"vmtoolsd.exe",,"2536"
"vm3dservice.exe",,"2560"
"VGAuthService.exe",,"2580"
"wireguard.exe",,"2596"
"MsMpEng.exe",,"2628"
"svchost.exe",,"2716"
"svchost.exe",,"2736"
"vm3dservice.exe",,"2876"
"dllhost.exe",,"3196"
"WmiPrvSE.exe",,"3340"
"msdtc.exe",,"3468"
"vm3dservice.exe",,"3924"
"svchost.exe",,"4000"
"NisSrv.exe",,"3628"
"svchost.exe",,"4452"
"SecurityHealthService.exe",,"4520"
"svchost.exe",,"4736"
"svchost.exe",,"4884"
"svchost.exe",,"4392"
"svchost.exe",,"852"
"wireguard.exe",,"4632"
"sihost.exe",,"2664"
"svchost.exe",,"2524"
"svchost.exe",,"2888"
"svchost.exe",,"4984"
"taskhostw.exe",,"3968"
"svchost.exe",,"1588"
"ctfmon.exe",,"3596"
"explorer.exe",,"3736"
"svchost.exe",,"428"
"ShellExperienceHost.exe",,"4488"
"SearchUI.exe",,"4636"
"RuntimeBroker.exe",,"3100"
"RuntimeBroker.exe",,"5208"
"GoogleCrashHandler.exe",,"5564"
"dllhost.exe",,"5668"
"GoogleCrashHandler64.exe",,"5752"
"SgrmBroker.exe",,"5824"
"svchost.exe",,"5968"
"powershell_ise.exe",,"6104"
"SecurityHealthSystray.exe",,"3768"
"vmtoolsd.exe",,"5180"
"svchost.exe",,"3024"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe",,"3812"
"svchost.exe",,"1416"
"svchost.exe",,"2916"
"RuntimeBroker.exe",,"4416"
"svchost.exe",,"5228"
"svchost.exe",,"3540"
