"Name","PathName","ProcessID"
"AJRouter","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"ALG","C:\Windows\System32\alg.exe","0"
"AppIDSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"Appinfo","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"AppMgmt","C:\Windows\system32\svchost.exe -k netsvcs -p","1416"
"AppReadiness","C:\Windows\System32\svchost.exe -k AppReadiness -p","0"
"AppVClient","C:\Windows\system32\AppVClient.exe","0"
"AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p","0"
"AssignedAccessManagerSvc","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","0"
"AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","1552"
"Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1716"
"AxInstSV","C:\Windows\system32\svchost.exe -k AxInstSVGroup","0"
"BDESVC","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","2060"
"BITS","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p","800"
"BTAGService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","0"
"BthAvctpSvc","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"bthserv","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"camsvc","C:\Windows\system32\svchost.exe -k appmodel -p","0"
"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p","4736"
"CertPropSvc","C:\Windows\system32\svchost.exe -k netsvcs","0"
"ClipSVC","C:\Windows\System32\svchost.exe -k wsappx -p","0"
"COMSysApp","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","3196"
"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","1160"
"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p","2416"
"CscService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p","800"
"defragsvc","C:\Windows\system32\svchost.exe -k defragsvc","0"
"DeviceAssociationService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"DeviceInstall","C:\Windows\system32\svchost.exe -k DcomLaunch -p","0"
"DevQueryBroker","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","1304"
"diagnosticshub.standardcollector.service","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","0"
"diagsvc","C:\Windows\System32\svchost.exe -k diagnostics","0"
"DiagTrack","C:\Windows\System32\svchost.exe -k utcsvc -p","2436"
"DisplayEnhancementService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"DmEnrollmentSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"dmwappushservice","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"Dnscache","C:\Windows\system32\svchost.exe -k NetworkService -p","1808"
"DoSvc","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"dot3svc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"DPS","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","0"
"DsmSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"DsSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"DusmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"Eaphost","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"EFS","C:\Windows\System32\lsass.exe","0"
"embeddedmode","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"EntAppSvc","C:\Windows\system32\svchost.exe -k appmodel -p","0"
"EventLog","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1080"
"EventSystem","C:\Windows\system32\svchost.exe -k LocalService -p","1348"
"Fax","C:\Windows\system32\fxssvc.exe","0"
"fdPHost","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"FDResPub","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","0"
"fhsvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"FontCache","C:\Windows\system32\svchost.exe -k LocalService -p","1560"
"FrameServer","C:\Windows\System32\svchost.exe -k Camera","0"
"GoogleChromeElevationService","""C:\Program Files\Google\Chrome\Application\111.0.5563.110\elevation_service.exe""","0"
"gpsvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup","0"
"gupdate","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc","0"
"gupdatem","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc","0"
"hidserv","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"HvHost","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"icssvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"IKEEXT","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"InstallService","C:\Windows\System32\svchost.exe -k netsvcs -p","0"
"iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs -p","2736"
